deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
204436,Isnaldo Bulhões Jr.,MDB,AL,1116928.56
221378,Reginete Bispo,PT,RS,1115453.49
220568,Gustavo Gayer,PL,GO,1113860.08
74299,Leônidas Cristino,PDT,CE,1111907.57
220587,Gerlen Diniz,PP,AC,1107082.05
204549,AJ Albuquerque,PP,CE,1106638.63
220619,Delegado Ramagem,PL,RJ,1101562.70
137070,Vicentinho Júnior,PSDB,TO,1101469.16
204482,Euclydes Pettersen,REPUBLICANOS,MG,1085977.24
220531,Gilvan Maximo,REPUBLICANOS,DF,1083952.43
219585,Marco Brasil,PP,PR,1057690.06
204449,Nelson Barbudo,PODE,MT,1057515.04
221339,Dr. Benjamim,UNIÃO,MA,1057264.32
204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,1055389.30
204533,Idilvan Alencar,PSB,CE,1052421.55
204520,Junio Amaral,PL,MG,1043792.64
74079,José Priante,MDB,PA,1029783.34
178946,Soraya Santos,PL,RJ,1011355.89
220653,Fábio Teruel,MDB,SP,1002795.95
220627,Paulinho Freire,UNIÃO,RN,1001582.51
141450,Hugo Leal,PSD,RJ,988477.54
74095,Pauderney Avelino,UNIÃO,AM,987902.04
220657,André Fernandes,PL,CE,982865.93
74075,Elcione Barbalho,MDB,PA,979383.67
204541,Eduardo Bismarck,PV,CE,979238.01
204489,Robério Monteiro,PSB,CE,970396.07
220549,Any Ortiz,PP,RS,962309.37
204362,Ricardo Guidi,PL,SC,958899.16
204450,Doutor Luizinho,PP,RJ,958624.79
133810,Marcelo Moraes,PL,RS,943422.84
220601,Washington Quaquá,PT,RJ,937018.98
220650,Paulo Alexandre Barbosa,PSD,SP,882331.44
220642,Delegado Bruno Lima,PODE,SP,878159.02
156190,Marcel van Hattem,NOVO,RS,877307.97
220593,Abilio Brunini,PL,MT,871819.53
204459,Daniela do Waguinho,REPUBLICANOS,RJ,871616.17
171623,Fabio Reis,PSD,SE,846350.22
92346,Eduardo Bolsonaro,PL,SP,839606.64
73806,Roseana Sarney,MDB,MA,833031.00
